Localization,Count
Cytoplasm,165858
Nucleus,40172
Cell membrane,35271
Secreted,32326
Cell inner membrane,27377
Plastid,15854
Membrane,14611
Cytoskeleton,7972
Chloroplast,7564
Endoplasmic reticulum membrane,7311
Mitochondrion inner membrane,7088
Chloroplast thylakoid membrane,6390
Mitochondrion,5932
Virion,4845
Cell projection,4442
Chromosome,4270
Host nucleus,4101
Nucleolus,3977
Host cytoplasm,3807
Cytosol,3558
Golgi apparatus membrane,3370
Periplasm,3160
Cytoplasmic vesicle,3008
Golgi apparatus,2937
Extracellular space,2606
Virion membrane,2338
Cell outer membrane,2326
Microtubule organizing center,2275
Cellular thylakoid membrane,2250
Centrosome,1971
Endoplasmic reticulum,1820
Mitochondrion matrix,1773
Nucleoid,1735
Cell junction,1632
Host cell membrane,1603
Cell wall,1520
Cell surface,1427
Extracellular matrix,1412
Nucleoplasm,1382
Perinuclear region,1365
Mitochondrion membrane,1350
Cilium,1323
Mitochondrion outer membrane,1258
Spindle,1134
Vacuole membrane,1104
Endosome membrane,1090
Apical cell membrane,1080
Secretory vesicle,1037
Centromere,1001
Synapse,970
Nucleus speckle,966
Lysosome membrane,937
Host membrane,925
Dendrite,881
Axon,851
Endosome,827
Nucleus membrane,801
Cytoplasmic vesicle membrane,799
Lysosome,788
Microsome membrane,783
Bacterial flagellum basal body,732
Mitochondrion intermembrane space,703
Trans-Golgi network membrane,695
Kinetochore,685
Chloroplast stroma,684
Early endosome membrane,635
Peroxisome,627
Postsynaptic cell membrane,602
Basolateral cell membrane,578
Spindle pole,568
Late endosome membrane,562
Early endosome,560
Cilium basal body,556
Vacuole,550
Cell cortex,547
Perikaryon,544
Endoplasmic reticulum lumen,515
Host endoplasmic reticulum membrane,491
Cilium axoneme,489
Membrane raft,484
Host apical cell membrane,471
Melanosome,461
Centriole,455
Lipid droplet,445
Preautophagosomal structure membrane,443
Nucleus envelope,438
Host Golgi apparatus membrane,436
Host Golgi apparatus,434
Telomere,426
Target cell membrane,424
Apoplast,422
Midbody,421
Lamellipodium,418
Cytoplasmic granule,417
Myofibril,412
Endomembrane system,404
P-body,402
Flagellum,390
Nuclear pore complex,390
Focal adhesion,387
Peroxisome membrane,372
Golgi stack membrane,366
Tight junction,353
Trans-Golgi network,350
Recycling endosome membrane,347
Sarcomere,339
Nematocyst,333
Postsynaptic density,329
Synaptic vesicle membrane,323
Host nucleolus,323
Chloroplast membrane,319
PML body,308
Adherens junction,306
Sarcolemma,304
Virion tegument,295
Growth cone,287
Fimbrium,282
Chloroplast inner membrane,280
Host perinuclear region,279
Host mitochondrion,278
COPII-coated vesicle membrane,278
Synaptosome,275
Dendritic spine,274
Endoplasmic reticulum-Golgi intermediate compartment membrane,246
Photoreceptor outer segment,239
Nucleus matrix,232
Acrosome,231
Spindle pole body,230
Caveola,228
Host endosome membrane,225
Late endosome,224
Recycling endosome,220
Cis-Golgi network membrane,220
Ruffle membrane,215
Ruffle,215
Nucleus inner membrane,211
Host endoplasmic reticulum-Golgi intermediate compartment,200
Flagellum axoneme,199
Stress granule,197
Prevacuolar compartment membrane,193
Host cell junction,186
Secretory vesicle membrane,182
Cleavage furrow,181
Autophagosome membrane,181
Bacterial microcompartment,180
Clathrin-coated vesicle membrane,179
Gap junction,179
Autophagosome,176
Rough endoplasmic reticulum,176
Filopodium,174
Clathrin-coated pit,172
Host cytoskeleton,172
Presynapse,171
Z line,169
Clathrin-coated vesicle,166
Preautophagosomal structure,166
Phagosome membrane,166
Neuron projection,164
Host endosome,164
Presynaptic cell membrane,163
Cilium membrane,162
Basement membrane,160
Spore core,158
Host plasmodesma,157
Actin patch,155
COPI-coated vesicle membrane,154
Sarcoplasmic reticulum membrane,148
Host multivesicular body,147
Microsome,141
Cajal body,139
Extracellular exosome,139
Bud neck,137
Photoreceptor inner segment,136
Centriolar satellite,135
Host cytoplasmic vesicle membrane,125
Carboxysome,123
Host trans-Golgi network,122
Host cytosol,119
Bacterial flagellum,119
Chloroplast thylakoid lumen,118
Coated pit,117
Mitochondrion nucleoid,117
Host endoplasmic reticulum,117
Peroxisome matrix,115
Dynein axonemal particle,114
Phagosome,114
Multivesicular body membrane,112
Plastid membrane,110
Cis-Golgi network,108
Multivesicular body,107
Endoplasmic reticulum-Golgi intermediate compartment,101
Extracellular vesicle,101
Postsynaptic density membrane,98
Stress fiber,96
Host endoplasmic reticulum lumen,94
Stereocilium,94
Nucleus outer membrane,92
Phragmoplast,89
Synaptic vesicle,88
Cyanelle,87
Lateral cell membrane,85
Chloroplast outer membrane,85
Sarcoplasmic reticulum,85
Host cell,84
Microvillus,84
Amyloplast,84
Phagocytic cup,83
Desmosome,83
Glyoxysome,83
Basal cell membrane,82
Host early endosome,81
Podosome,76
Melanosome membrane,75
Host rough endoplasmic reticulum,73
Postsynapse,72
Secretory vesicle lumen,71
Host extracellular space,71
Host endomembrane system,69
Lysosome lumen,69
Lamellipodium membrane,68
Cytoplasmic ribonucleoprotein granule,67
Vesicle,67
M line,66
Host cell inner membrane,65
Cell septum,64
Host endoplasmic reticulum-Golgi intermediate compartment membrane,64
Acrosome membrane,61
Midbody ring,60
Flagellum membrane,60
Cellular chromatophore membrane,59
Host mitochondrion inner membrane,59
Sarcoplasmic reticulum lumen,59
Cyanelle thylakoid membrane,58
Pseudopodium,57
Host nucleus inner membrane,57
Host cell surface,57
Host rough endoplasmic reticulum membrane,56
Microvillus membrane,56
Host cytoplasmic vesicle,55
Rough endoplasmic reticulum membrane,55
S-layer,54
Archaeal flagellum,54
Vacuole lumen,53
Golgi stack,52
Magnetosome membrane,52
Gas vesicle,48
Host caveola,47
Host mitochondrion membrane,47
Bud,46
Inflammasome,46
Spore wall,46
Plastoglobule,44
Filopodium membrane,44
Plasmodesma,44
Host lipid droplet,44
Gas vesicle membrane,44
Spore membrane,43
Aleurone grain,43
T-tubule,43
Apicoplast,40
Cell envelope,40
Host nucleus matrix,40
Cell tip,39
Gem,39
Encapsulin nanocompartment,38
Bud tip,37
Golgi apparatus lumen,37
Cytoplasmic vesicle lumen,37
Chloroplast thylakoid,35
Dendritic spine membrane,34
Zymogen granule membrane,34
Host late endosome membrane,34
Surface film,34
Interphotoreceptor matrix,33
Chromaffin granule membrane,33
Spore coat,33
Invadopodium membrane,33
Cytolytic granule,33
Nuclear body,33
Flagellum basal body,32
Cellular thylakoid lumen,32
Nucleus lamina,32
Chloroplast envelope,32
Cytoplasmic granule membrane,32
Growth cone membrane,32
Glycosome,31
Protein storage vacuole,31
Chromoplast,31
Filopodium tip,31
Myelin membrane,30
Stereocilium membrane,30
Cortical granule,30
Zona pellucida,30
Prospore membrane,29
I band,29
Chromaffin granule,29
Synaptic cell membrane,28
Host nucleus membrane,28
Periplasmic flagellum,27
Host mitochondrion outer membrane,27
Hemidesmosome,26
Organellar chromatophore thylakoid membrane,26
Presynaptic active zone,26
A band,26
Chloroplast nucleoid,25
Host cell projection,25
Host filopodium,25
Organellar chromatophore,25
Parasitophorous vacuole membrane,25
Invadopodium,24
Photoreceptor outer segment membrane,24
Extracellular vesicle membrane,23
Golgi outpost,23
Neuronal dense core vesicle,22
Apicolateral cell membrane,22
Plastid thylakoid membrane,21
Host cell outer membrane,20
Host chloroplast envelope,20
Kinocilium,19
Capsule,19
Smooth endoplasmic reticulum membrane,19
Host nucleoplasm,19
Parasitophorous vacuole,19
Acrosome inner membrane,19
Ascus epiplasm,19
Spore,18
Cytolytic granule membrane,18
Kinetoplast,18
Parasitophorous vacuole lumen,18
Perispore,17
Endosome lumen,17
Chlorosome,17
Prevacuolar compartment,16
Symbiosome,16
Target cell,16
Target cell cytoplasm,16
Perinuclear theca,15
Host cis-Golgi network,15
Zymogen granule,15
Acrosome lumen,15
Host vacuole,15
Forespore outer membrane,14
COPII-coated vesicle,14
Host pathogen-containing vacuole,14
Host pathogen-containing vacuole membrane,14
Peribacteroid membrane,13
Sarcoplasm,13
Photoreceptor inner segment membrane,13
Etioplast membrane,13
Chromaffin granule lumen,13
Bleb,13
Contractile vacuole membrane,13
Chlorosome envelope,13
Bud membrane,13
Protein storage vacuole membrane,12
Hydrogenosome,12
Host microsome membrane,12
Paranodal septate junction,12
Host synapse,11
Host presynaptic cell membrane,11
Host secretory vesicle,11
Host synaptic vesicle membrane,11
Zymogen granule lumen,11
Plastid stroma,11
Acrosome outer membrane,11
Contractile vacuole,11
Bacterial extracellular vesicle,11
Host smooth endoplasmic reticulum membrane,11
COPI-coated vesicle,11
Septate junction,10
Neuronal dense core vesicle membrane,10
Calyx,10
Uropodium,10
Aleurone grain membrane,9
Primary cell wall,9
Spore polar tube,9
Host periplasm,9
Host phagosome,9
Attachment organelle membrane,9
Synaptic cleft,9
Forespore,8
Microneme,8
Trichocyst,8
Cvt vesicle membrane,8
Microneme membrane,8
Postsynaptic recycling endosome membrane,8
Host nucleus envelope,8
Host nucleus lamina,7
Autolysosome membrane,7
Forespore membrane,7
Pollen coat,6
Rhoptry,6
Chloroplast intermembrane space,6
Mitosome,6
Cytoplasmic granule lumen,6
Host trans-Golgi network membrane,6
Host early endosome membrane,6
Podosome membrane,6
Magnetosome,5
Spore outer membrane,5
Forespore inner membrane,5
Rhoptry membrane,5
Multivesicular body lumen,5
Pseudopodium membrane,5
Peribacteroid space,5
Glyoxysome membrane,4
Forespore intermembrane space,4
Thylakoid,4
Host cellular thylakoid membrane,4
Flagellar pocket,4
Cyanelle membrane,4
Anammoxosome,4
Rough endoplasmic reticulum lumen,4
Acidocalcisome membrane,4
Nucleus intermembrane space,4
Host cell wall,4
Barrier septum,4
Lytic vacuole,4
Attachment organelle,3
Prospore,3
Hydrogenosome lumen,3
Chromoplast stroma,3
Endoplasmic reticulum-Golgi intermediate compartment lumen,3
Spore cortex,3
Mitosome membrane,2
H zone,2
Microneme lumen,2
Cornified envelope,2
Plastid inner membrane,2
Chromoplast membrane,2
Mitosome matrix,2
Esterosome membrane,2
Host,2
Nucleolus fibrillar center,2
Inner membrane complex,2
Host cis-Golgi network membrane,2
Autophagosome lumen,2
Amyloplast membrane,2
Plastid outer membrane,2
Symplast,1
Melanosome lumen,1
Host lysosome,1
Mitochondrion envelope,1
Cyanelle stroma,1
Protein storage vacuole lumen,1
Etioplast,1
Rhoptry lumen,1
Late endosome lumen,1
Recycling endosome lumen,1
Host peroxisome,1
Nucleomorph,1
Hydrogenosome membrane,1
Pseudopodium tip,1
Tegument membrane,1
Amyloplast inner membrane,1
Cyanelle thylakoid lumen,1
Cyanelle inner membrane,1
Hyaline layer,1
Apical lamina,1
